"","Email_ID","Email_Status"
"1","EMA00081000168000","0"
"2","EMA00081000187610","0"
"3","EMA00081000244770","0"
"4","EMA00081000245260","0"
"5","EMA00081000264690","0"
"6","EMA00081000337110","0"
"7","EMA00081000390580","1"
"8","EMA00081000445960","0"
"9","EMA00081000581770","0"
"10","EMA00081000587870","0"
"11","EMA00081000687250","0"
"12","EMA00081001253450","0"
"13","EMA00081001748000","0"
"14","EMA00081001796900","0"
"15","EMA00081001883930","0"
"16","EMA00081001980260","0"
"17","EMA00081002105120","0"
"18","EMA00081002356960","0"
"19","EMA00081002624090","0"
"20","EMA00081002979120","0"
"21","EMA00081003084980","0"
"22","EMA00081003287400","0"
"23","EMA00081003358300","0"
"24","EMA00081003784910","0"
"25","EMA00081003872250","0"
"26","EMA00081004026580","1"
"27","EMA00081004165760","1"
"28","EMA00081004487970","0"
"29","EMA00081004700990","0"
"30","EMA00081004734150","0"
"31","EMA00081004931360","0"
"32","EMA00081005095020","0"
"33","EMA00081005299400","0"
"34","EMA00081005462090","0"
"35","EMA00081005490200","0"
"36","EMA00081005709420","0"
"37","EMA00081006296720","0"
"38","EMA00081006338140","0"
"39","EMA00081006454150","0"
"40","EMA00081006515590","0"
"41","EMA00081006589950","0"
"42","EMA00081006932110","0"
"43","EMA00081006985050","0"
"44","EMA00081007257180","0"
"45","EMA00081007340860","0"
"46","EMA00081007348530","0"
"47","EMA00081007784850","0"
"48","EMA00081008167500","0"
"49","EMA00081008275850","0"
"50","EMA00081008517920","0"
"51","EMA00081008651870","0"
"52","EMA00081008660090","0"
"53","EMA00081008720530","0"
"54","EMA00081009041530","0"
"55","EMA00081009230400","2"
"56","EMA00081009789300","0"
"57","EMA00081009903570","0"
"58","EMA00081010158440","0"
"59","EMA00081010349970","0"
"60","EMA00081010353680","0"
"61","EMA00081010379610","0"
"62","EMA00081010458660","0"
"63","EMA00081010665120","0"
"64","EMA00081010827310","0"
"65","EMA00081010973160","0"
"66","EMA00081011068220","1"
"67","EMA00081011101420","0"
"68","EMA00081011320340","0"
"69","EMA00081011517010","0"
"70","EMA00081011547820","0"
"71","EMA00081011553930","0"
"72","EMA00081011712250","0"
"73","EMA00081011801110","0"
"74","EMA00081011878230","0"
"75","EMA00081012051760","0"
"76","EMA00081012141850","0"
"77","EMA00081012272590","0"
"78","EMA00081012370480","0"
"79","EMA00081012716300","0"
"80","EMA00081013030930","1"
"81","EMA00081013551530","1"
"82","EMA00081013595700","0"
"83","EMA00081013632280","0"
"84","EMA00081013687090","0"
"85","EMA00081013856080","0"
"86","EMA00081014061410","0"
"87","EMA00081014089320","0"
"88","EMA00081014394470","0"
"89","EMA00081014464890","0"
"90","EMA00081014924430","0"
"91","EMA00081014999160","0"
"92","EMA00081015016980","0"
"93","EMA00081015133150","0"
"94","EMA00081015268930","0"
"95","EMA00081015610750","0"
"96","EMA00081015628880","0"
"97","EMA00081015635540","0"
"98","EMA00081015669840","0"
"99","EMA00081015920000","0"
"100","EMA00081016006030","0"
"101","EMA00081016061050","0"
"102","EMA00081016079210","0"
"103","EMA00081016079930","0"
"104","EMA00081016293590","0"
"105","EMA00081016731550","0"
"106","EMA00081017059930","0"
"107","EMA00081017117570","0"
"108","EMA00081017141240","0"
"109","EMA00081017182510","0"
"110","EMA00081017536330","0"
"111","EMA00081017635250","0"
"112","EMA00081017949190","0"
"113","EMA00081018508000","0"
"114","EMA00081018520860","0"
"115","EMA00081018677820","0"
"116","EMA00081018690510","0"
"117","EMA00081018704340","0"
"118","EMA00081018790450","0"
"119","EMA00081018804400","0"
"120","EMA00081018990910","0"
"121","EMA00081019093520","0"
"122","EMA00081019233260","0"
"123","EMA00081019271430","0"
"124","EMA00081019872710","0"
"125","EMA00081020122800","0"
"126","EMA00081020147150","0"
"127","EMA00081020172660","0"
